날짜,PM10_1,PM10_2,PM25_1,PM25_2,O3_1,O3_2,NO2_1,NO2_2,CO_1,Co_2,SO2_1,SO2_2
2021-04-09:06,보통,42,보통,21,보통,0.033,좋음,0.020,좋음,0.4,좋음,0.003
2021-04-09:05,보통,40,보통,21,보통,0.036,좋음,0.018,좋음,0.4,좋음,0.003
2021-04-09:04,보통,38,보통,21,좋음,0.025,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-09:03,보통,40,보통,21,보통,0.036,좋음,0.018,좋음,0.4,좋음,0.003
2021-04-09:02,보통,37,보통,20,보통,0.038,좋음,0.017,좋음,0.4,좋음,0.003
2021-04-09:01,보통,38,보통,19,보통,0.038,좋음,0.020,좋음,0.4,좋음,0.003
2021-04-08:24,보통,38,보통,19,보통,0.041,좋음,0.017,좋음,0.4,좋음,0.003
2021-04-08:23,보통,39,보통,20,보통,0.044,좋음,0.015,좋음,0.4,좋음,0.003
2021-04-08:22,좋음,28,좋음,13,보통,0.042,좋음,0.015,좋음,0.3,좋음,0.003
2021-04-08:21,좋음,30,좋음,8,보통,0.040,좋음,0.013,좋음,0.3,좋음,0.003
2021-04-08:20,보통,35,좋음,12,보통,0.041,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-08:19,보통,39,보통,17,보통,0.046,좋음,0.011,좋음,0.3,좋음,0.003
2021-04-08:18,보통,33,좋음,11,보통,0.048,좋음,0.009,좋음,0.3,좋음,0.003
2021-04-08:17,좋음,30,좋음,11,보통,0.047,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-08:16,좋음,29,좋음,11,보통,0.048,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-08:15,보통,32,좋음,15,보통,0.051,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-08:14,보통,31,좋음,13,보통,0.052,좋음,0.008,좋음,0.3,좋음,0.002
2021-04-08:13,보통,41,보통,21,보통,0.054,좋음,0.010,좋음,0.3,좋음,0.003
2021-04-08:12,보통,38,보통,18,보통,0.043,좋음,0.017,좋음,0.3,좋음,0.003
2021-04-08:11,보통,37,보통,16,보통,0.040,좋음,0.020,좋음,0.4,좋음,0.002
2021-04-08:10,보통,33,좋음,13,보통,0.037,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-08:09,보통,47,보통,22,보통,0.032,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-08:08,보통,49,보통,24,좋음,0.029,좋음,0.029,좋음,0.4,좋음,0.003
2021-04-08:07,보통,41,보통,20,좋음,0.020,보통,0.038,좋음,0.4,좋음,0.003
2021-04-08:06,보통,35,보통,18,좋음,0.029,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-08:05,보통,35,보통,21,보통,0.038,좋음,0.019,좋음,0.4,좋음,0.003
2021-04-08:04,보통,35,보통,17,보통,0.040,좋음,0.017,좋음,0.4,좋음,0.003
2021-04-08:03,보통,37,보통,18,보통,0.045,좋음,0.011,좋음,0.4,좋음,0.003
2021-04-08:02,보통,38,보통,17,보통,0.044,좋음,0.013,좋음,0.4,좋음,0.003
2021-04-08:01,보통,41,보통,16,보통,0.042,좋음,0.015,좋음,0.4,좋음,0.003
2021-04-07:24,보통,44,보통,23,보통,0.039,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-07:23,보통,48,보통,27,보통,0.042,좋음,0.023,좋음,0.5,좋음,0.003
2021-04-07:22,보통,43,보통,24,보통,0.049,좋음,0.020,좋음,0.5,좋음,0.003
2021-04-07:21,좋음,29,좋음,13,보통,0.044,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-07:20,좋음,24,좋음,11,보통,0.040,좋음,0.025,좋음,0.3,좋음,0.002
2021-04-07:19,좋음,30,좋음,14,보통,0.045,좋음,0.020,좋음,0.3,좋음,0.003
2021-04-07:18,좋음,30,좋음,13,보통,0.049,좋음,0.017,좋음,0.3,좋음,0.003
2021-04-07:17,보통,39,보통,18,보통,0.049,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-07:16,보통,48,보통,26,보통,0.056,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-07:15,보통,53,보통,29,보통,0.058,좋음,0.021,좋음,0.4,좋음,0.004
2021-04-07:14,보통,47,보통,26,보통,0.049,좋음,0.021,좋음,0.3,좋음,0.004
2021-04-07:13,보통,72,나쁨,45,보통,0.042,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-07:12,나쁨,84,나쁨,53,좋음,0.028,보통,0.049,좋음,0.6,좋음,0.004
2021-04-07:11,나쁨,102,나쁨,67,좋음,0.020,보통,0.057,좋음,0.7,좋음,0.003
2021-04-07:10,나쁨,86,나쁨,55,좋음,0.014,보통,0.059,좋음,0.7,좋음,0.004
2021-04-07:09,나쁨,88,나쁨,56,좋음,0.012,보통,0.057,좋음,0.7,좋음,0.003
2021-04-07:08,나쁨,83,나쁨,58,좋음,0.009,보통,0.047,좋음,0.7,좋음,0.003
2021-04-07:07,나쁨,100,나쁨,70,좋음,0.016,보통,0.039,좋음,0.6,좋음,0.003
2021-04-07:06,나쁨,91,나쁨,63,좋음,0.025,좋음,0.029,좋음,0.6,좋음,0.003
2021-04-07:05,보통,79,나쁨,52,좋음,0.027,보통,0.031,좋음,0.6,좋음,0.002
2021-04-07:04,보통,68,나쁨,44,보통,0.033,좋음,0.027,좋음,0.6,좋음,0.003
2021-04-07:03,보통,69,나쁨,47,보통,0.041,좋음,0.024,좋음,0.5,좋음,0.003
2021-04-07:02,보통,61,나쁨,38,보통,0.045,좋음,0.022,좋음,0.5,좋음,0.003
2021-04-07:01,보통,63,나쁨,38,보통,0.051,좋음,0.020,좋음,0.5,좋음,0.003
2021-04-06:24,보통,56,보통,33,보통,0.048,좋음,0.026,좋음,0.5,좋음,0.003
2021-04-06:23,보통,54,보통,33,보통,0.053,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-06:22,보통,49,보통,27,보통,0.054,좋음,0.018,좋음,0.4,좋음,0.003
2021-04-06:21,보통,47,보통,29,보통,0.045,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-06:20,보통,50,보통,27,보통,0.049,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-06:19,보통,58,보통,32,보통,0.051,좋음,0.024,좋음,0.4,좋음,0.003
2021-04-06:18,보통,57,보통,33,보통,0.063,좋음,0.016,좋음,0.4,좋음,0.003
2021-04-06:17,보통,58,보통,32,보통,0.066,좋음,0.020,좋음,0.4,좋음,0.004
2021-04-06:16,보통,47,보통,25,보통,0.063,좋음,0.017,좋음,0.4,좋음,0.004
2021-04-06:15,보통,55,보통,31,보통,0.060,좋음,0.018,좋음,0.4,좋음,0.004
2021-04-06:14,보통,59,보통,33,보통,0.069,좋음,0.017,좋음,0.4,좋음,0.003
2021-04-06:13,보통,53,보통,28,보통,0.059,좋음,0.018,좋음,0.4,좋음,0.003
2021-04-06:12,보통,44,보통,21,보통,0.036,좋음,0.030,좋음,0.4,좋음,0.003
2021-04-06:11,보통,54,보통,25,좋음,0.021,보통,0.052,좋음,0.5,좋음,0.003
2021-04-06:10,보통,46,보통,23,좋음,0.012,보통,0.056,좋음,0.6,좋음,0.004
2021-04-06:09,보통,44,보통,21,좋음,0.010,보통,0.052,좋음,0.5,좋음,0.003
2021-04-06:08,보통,35,보통,18,좋음,0.009,보통,0.046,좋음,0.5,좋음,0.003
2021-04-06:07,보통,34,보통,16,좋음,0.017,보통,0.036,좋음,0.4,좋음,0.003
2021-04-06:06,좋음,28,좋음,15,좋음,0.025,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-06:05,좋음,27,좋음,15,보통,0.031,좋음,0.017,좋음,0.4,좋음,0.002
2021-04-06:04,좋음,26,좋음,14,좋음,0.028,좋음,0.023,좋음,0.4,좋음,0.002
2021-04-06:03,좋음,28,좋음,13,좋음,0.018,보통,0.035,좋음,0.5,좋음,0.002
2021-04-06:02,좋음,24,좋음,13,좋음,0.026,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-06:01,좋음,25,좋음,13,보통,0.035,좋음,0.020,좋음,0.4,좋음,0.003
2021-04-05:24,좋음,21,좋음,11,보통,0.036,좋음,0.020,좋음,0.4,좋음,0.003
2021-04-05:23,좋음,20,좋음,9,보통,0.038,좋음,0.018,좋음,0.3,좋음,0.003
2021-04-05:22,좋음,20,좋음,10,보통,0.039,좋음,0.015,좋음,0.3,좋음,0.002
2021-04-05:21,좋음,23,좋음,11,보통,0.035,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-05:20,좋음,23,좋음,11,보통,0.039,좋음,0.018,좋음,0.3,좋음,0.002
2021-04-05:19,좋음,28,좋음,14,보통,0.044,좋음,0.017,좋음,0.3,좋음,0.002
2021-04-05:18,보통,33,보통,16,보통,0.043,좋음,0.020,좋음,0.3,좋음,0.002
2021-04-05:17,좋음,19,좋음,9,보통,0.039,좋음,0.026,좋음,0.3,좋음,0.003
2021-04-05:16,좋음,17,좋음,9,보통,0.041,좋음,0.020,좋음,0.3,좋음,0.002
2021-04-05:15,좋음,19,좋음,10,보통,0.039,좋음,0.020,좋음,0.3,좋음,0.002
2021-04-05:14,좋음,19,좋음,12,보통,0.039,좋음,0.017,좋음,0.3,좋음,0.003
2021-04-05:13,좋음,19,좋음,11,보통,0.039,좋음,0.014,좋음,0.3,좋음,0.002
2021-04-05:12,좋음,18,좋음,9,보통,0.035,좋음,0.018,좋음,0.4,좋음,0.002
2021-04-05:11,좋음,22,좋음,10,좋음,0.030,좋음,0.023,좋음,0.4,좋음,0.002
2021-04-05:10,좋음,19,좋음,7,좋음,0.025,좋음,0.026,좋음,0.4,좋음,0.002
2021-04-05:09,좋음,27,좋음,10,좋음,0.020,좋음,0.030,좋음,0.4,좋음,0.002
2021-04-05:08,좋음,23,좋음,10,좋음,0.018,좋음,0.029,좋음,0.4,좋음,0.002
2021-04-05:07,좋음,28,좋음,12,좋음,0.018,좋음,0.028,좋음,0.3,좋음,0.003
2021-04-05:06,좋음,22,좋음,11,좋음,0.024,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-05:05,좋음,25,좋음,11,보통,0.032,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-05:04,좋음,24,좋음,11,좋음,0.028,좋음,0.015,좋음,0.3,좋음,0.002
2021-04-05:03,좋음,26,좋음,13,좋음,0.027,좋음,0.017,좋음,0.3,좋음,0.002
2021-04-05:02,좋음,25,좋음,13,좋음,0.025,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-05:01,좋음,28,좋음,11,좋음,0.029,좋음,0.018,좋음,0.3,좋음,0.002
2021-04-04:24,좋음,25,좋음,11,보통,0.033,좋음,0.016,좋음,0.3,좋음,0.003
2021-04-04:23,좋음,26,좋음,13,좋음,0.029,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-04:22,좋음,25,좋음,12,보통,0.031,좋음,0.018,좋음,0.3,좋음,0.002
2021-04-04:21,좋음,26,좋음,12,보통,0.034,좋음,0.014,좋음,0.3,좋음,0.002
2021-04-04:20,좋음,23,좋음,12,보통,0.034,좋음,0.014,좋음,0.3,좋음,0.002
2021-04-04:19,좋음,20,좋음,11,보통,0.035,좋음,0.014,좋음,0.3,좋음,0.002
2021-04-04:18,좋음,14,좋음,9,보통,0.040,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-04:17,좋음,11,좋음,6,보통,0.039,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-04:16,좋음,9,좋음,5,보통,0.039,좋음,0.009,좋음,0.3,좋음,0.002
2021-04-04:15,좋음,12,좋음,8,보통,0.040,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-04:14,좋음,10,좋음,7,보통,0.040,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-04:13,좋음,8,좋음,5,보통,0.039,좋음,0.009,좋음,0.3,좋음,0.002
2021-04-04:12,좋음,5,좋음,1,보통,0.036,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-04:11,좋음,7,좋음,3,보통,0.035,좋음,0.010,좋음,0.3,좋음,0.002
2021-04-04:10,좋음,3,좋음,1,보통,0.032,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-04:09,좋음,6,좋음,1,보통,0.032,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-04:08,좋음,3,좋음,1,보통,0.033,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-04:07,좋음,6,좋음,1,보통,0.032,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-04:06,좋음,3,좋음,2,보통,0.035,좋음,0.008,좋음,0.3,좋음,0.002
2021-04-04:05,좋음,7,좋음,3,보통,0.037,좋음,0.006,좋음,0.3,좋음,0.002
2021-04-04:04,좋음,3,좋음,1,보통,0.039,좋음,0.006,좋음,0.3,좋음,0.003
2021-04-04:03,좋음,4,좋음,2,보통,0.039,좋음,0.006,좋음,0.3,좋음,0.002
2021-04-04:02,좋음,4,좋음,2,보통,0.038,좋음,0.008,좋음,0.3,좋음,0.002
2021-04-04:01,좋음,8,좋음,2,보통,0.036,좋음,0.010,좋음,0.3,좋음,0.003
2021-04-03:24,좋음,3,좋음,2,보통,0.031,좋음,0.014,좋음,0.3,좋음,0.003
2021-04-03:23,좋음,17,좋음,13,보통,0.031,좋음,0.012,좋음,0.4,좋음,0.002
2021-04-03:22,좋음,22,좋음,15,좋음,0.026,좋음,0.015,좋음,0.4,좋음,0.002
2021-04-03:21,좋음,7,좋음,6,좋음,0.022,좋음,0.017,좋음,0.4,좋음,0.002
2021-04-03:20,좋음,7,좋음,5,좋음,0.018,좋음,0.022,좋음,0.4,좋음,0.002
2021-04-03:19,좋음,8,좋음,4,좋음,0.017,좋음,0.024,좋음,0.4,좋음,0.003
2021-04-03:18,좋음,7,좋음,4,좋음,0.020,좋음,0.023,좋음,0.4,좋음,0.003
2021-04-03:17,좋음,13,좋음,8,좋음,0.018,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-03:16,좋음,15,좋음,9,좋음,0.018,좋음,0.026,좋음,0.5,좋음,0.003
2021-04-03:15,좋음,21,좋음,14,좋음,0.017,좋음,0.028,좋음,0.5,좋음,0.003
2021-04-03:14,좋음,27,좋음,13,좋음,0.019,좋음,0.028,좋음,0.5,좋음,0.003
2021-04-03:13,보통,35,보통,16,좋음,0.022,좋음,0.026,좋음,0.5,좋음,0.003
2021-04-03:12,보통,56,보통,19,좋음,0.023,좋음,0.027,좋음,0.4,좋음,0.003
2021-04-03:11,보통,78,보통,24,좋음,0.018,보통,0.040,좋음,0.5,좋음,0.002
2021-04-03:10,보통,60,보통,20,좋음,0.026,좋음,0.029,좋음,0.4,좋음,0.003
2021-04-03:09,보통,64,보통,19,좋음,0.024,보통,0.031,좋음,0.4,좋음,0.003
2021-04-03:08,보통,55,보통,19,좋음,0.024,좋음,0.028,좋음,0.4,좋음,0.003
2021-04-03:07,보통,56,보통,19,좋음,0.025,좋음,0.028,좋음,0.4,좋음,0.003
2021-04-03:06,보통,53,보통,19,좋음,0.027,좋음,0.023,좋음,0.4,좋음,0.003
2021-04-03:05,보통,59,보통,25,좋음,0.026,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-03:04,보통,54,보통,20,좋음,0.020,보통,0.031,좋음,0.4,좋음,0.003
2021-04-03:03,보통,58,보통,21,좋음,0.019,보통,0.034,좋음,0.4,좋음,0.003
2021-04-03:02,보통,59,보통,21,좋음,0.007,보통,0.055,좋음,0.6,좋음,0.003
2021-04-03:01,보통,63,보통,24,좋음,0.005,나쁨,0.062,좋음,0.6,좋음,0.003
2021-04-02:24,보통,60,보통,20,좋음,0.006,나쁨,0.061,좋음,0.5,좋음,0.004
2021-04-02:23,보통,68,보통,28,좋음,0.006,나쁨,0.066,좋음,0.6,좋음,0.003
2021-04-02:22,보통,59,보통,20,좋음,0.008,나쁨,0.065,좋음,0.6,좋음,0.003
2021-04-02:21,보통,62,보통,21,좋음,0.024,보통,0.042,좋음,0.4,좋음,0.003
2021-04-02:20,보통,66,보통,20,좋음,0.016,보통,0.058,좋음,0.5,좋음,0.004
2021-04-02:19,보통,56,보통,17,좋음,0.019,보통,0.055,좋음,0.4,좋음,0.004
2021-04-02:18,보통,46,좋음,14,보통,0.040,좋음,0.027,좋음,0.4,좋음,0.003
2021-04-02:17,보통,51,보통,17,보통,0.041,좋음,0.025,좋음,0.3,좋음,0.003
2021-04-02:16,보통,49,좋음,15,보통,0.039,보통,0.032,좋음,0.4,좋음,0.003
2021-04-02:15,보통,46,좋음,15,보통,0.043,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-02:14,보통,40,좋음,13,보통,0.042,좋음,0.021,좋음,0.3,좋음,0.002
2021-04-02:13,보통,46,좋음,14,보통,0.041,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-02:12,보통,45,좋음,12,보통,0.038,좋음,0.021,좋음,0.4,좋음,0.003
2021-04-02:11,보통,50,좋음,14,보통,0.033,좋음,0.025,좋음,0.4,좋음,0.002
2021-04-02:10,보통,48,좋음,11,보통,0.033,좋음,0.024,좋음,0.4,좋음,0.002
2021-04-02:09,보통,61,좋음,13,좋음,0.027,보통,0.031,좋음,0.4,좋음,0.003
2021-04-02:08,보통,50,좋음,11,좋음,0.028,좋음,0.030,좋음,0.4,좋음,0.002
2021-04-02:07,보통,55,좋음,12,보통,0.031,좋음,0.025,좋음,0.3,좋음,0.002
2021-04-02:06,보통,50,좋음,12,보통,0.035,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-02:05,보통,56,좋음,12,보통,0.040,좋음,0.013,좋음,0.3,좋음,0.003
2021-04-02:04,보통,54,좋음,13,보통,0.041,좋음,0.012,좋음,0.3,좋음,0.002
2021-04-02:03,보통,56,좋음,13,보통,0.042,좋음,0.011,좋음,0.3,좋음,0.003
2021-04-02:02,보통,54,좋음,13,보통,0.044,좋음,0.009,좋음,0.3,좋음,0.002
2021-04-02:01,보통,57,좋음,14,보통,0.043,좋음,0.011,좋음,0.3,좋음,0.002
2021-04-01:24,보통,55,좋음,14,보통,0.038,좋음,0.017,좋음,0.3,좋음,0.002
2021-04-01:23,보통,60,좋음,15,보통,0.037,좋음,0.017,좋음,0.3,좋음,0.003
2021-04-01:22,보통,55,보통,16,보통,0.035,좋음,0.020,좋음,0.4,좋음,0.003
2021-04-01:21,보통,58,보통,17,좋음,0.029,좋음,0.027,좋음,0.4,좋음,0.002
2021-04-01:20,보통,65,보통,20,보통,0.034,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-01:19,보통,74,보통,16,보통,0.037,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-01:18,보통,66,좋음,15,보통,0.041,좋음,0.025,좋음,0.4,좋음,0.003
2021-04-01:17,보통,60,좋음,13,보통,0.043,좋음,0.023,좋음,0.4,좋음,0.003
2021-04-01:16,보통,51,좋음,13,보통,0.042,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-01:15,보통,50,좋음,13,보통,0.041,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-01:14,보통,47,좋음,13,보통,0.043,좋음,0.018,좋음,0.3,좋음,0.003
2021-04-01:13,보통,48,좋음,13,보통,0.041,좋음,0.019,좋음,0.3,좋음,0.002
2021-04-01:12,보통,43,좋음,13,보통,0.038,좋음,0.022,좋음,0.4,좋음,0.003
2021-04-01:11,보통,47,좋음,12,보통,0.032,좋음,0.026,좋음,0.4,좋음,0.003
2021-04-01:10,보통,42,좋음,11,좋음,0.028,좋음,0.030,좋음,0.5,좋음,0.003
2021-04-01:09,보통,45,보통,16,좋음,0.025,보통,0.034,좋음,0.4,좋음,0.003
2021-04-01:08,보통,36,좋음,14,좋음,0.009,보통,0.051,좋음,0.5,좋음,0.003
2021-04-01:07,보통,40,보통,16,좋음,0.010,보통,0.049,좋음,0.5,좋음,0.003
2021-04-01:06,보통,35,보통,16,좋음,0.011,보통,0.045,좋음,0.5,좋음,0.003
2021-04-01:05,보통,38,보통,19,좋음,0.018,보통,0.033,좋음,0.5,좋음,0.003
2021-04-01:04,보통,36,보통,17,좋음,0.019,보통,0.033,좋음,0.5,좋음,0.003
2021-04-01:03,보통,41,보통,23,좋음,0.006,보통,0.052,좋음,0.6,좋음,0.003
2021-04-01:02,보통,37,보통,18,좋음,0.003,보통,0.055,좋음,0.6,좋음,0.003
2021-04-01:01,보통,39,보통,20,좋음,0.003,보통,0.057,좋음,0.6,좋음,0.003
